Points Scored,FG,FG%,3P,3P%,ORB,Assists,Steals,OffRank,OppDefRank,Pace
95.0,33.0,0.371,8.0,0.242,12.0,19.0,7.0,94.3,94.3,
97.0,34.0,0.378,9.0,0.225,12.0,22.0,6.0,96.2,96.2,
105.0,36.0,0.419,6.0,0.231,10.0,23.0,8.0,103.9,103.9,
115.0,49.0,0.527,19.0,0.594,9.0,28.0,5.0,132.3,132.3,
91.0,44.0,0.449,6.0,0.25,15.0,22.0,11.0,107.3,107.3,
104.0,32.0,0.356,9.0,0.257,14.0,14.0,5.0,87.9,87.9,
131.0,43.0,0.473,8.0,0.216,9.0,23.0,9.0,107.8,107.8,
130.0,48.0,0.522,17.0,0.447,10.0,23.0,7.0,126.3,126.3,
118.0,45.0,0.506,6.0,0.231,12.0,23.0,8.0,112.5,112.5,
127.0,47.0,0.49,9.0,0.36,5.0,25.0,9.0,107.4,107.4,
116.0,47.0,0.534,11.0,0.55,6.0,32.0,5.0,114.5,114.5,
112.0,41.0,0.477,8.0,0.308,10.0,24.0,9.0,115.4,115.4,
128.0,41.0,0.432,11.0,0.314,12.0,23.0,9.0,100.4,100.4,
110.0,38.0,0.452,9.0,0.281,7.0,16.0,10.0,108.6,108.6,
111.0,47.0,0.495,13.0,0.448,9.0,26.0,15.0,117.5,117.5,
119.0,38.0,0.463,16.0,0.457,10.0,24.0,4.0,117.3,117.3,
112.0,38.0,0.4,11.0,0.306,6.0,23.0,9.0,102.9,102.9,
101.0,49.0,0.544,11.0,0.524,10.0,26.0,13.0,124.6,124.6,
119.0,43.0,0.434,17.0,0.378,13.0,33.0,9.0,112.6,112.6,
122.0,52.0,0.553,11.0,0.393,9.0,29.0,6.0,123.3,123.3,
119.0,41.0,0.441,10.0,0.303,6.0,25.0,10.0,112.0,112.0,
131.0,44.0,0.458,18.0,0.375,11.0,19.0,10.0,112.1,112.1,
106.0,42.0,0.532,7.0,0.333,10.0,24.0,5.0,112.4,112.4,
113.0,38.0,0.481,9.0,0.391,7.0,25.0,5.0,113.6,113.6,
102.0,37.0,0.463,8.0,0.308,8.0,26.0,8.0,99.7,99.7,
106.0,33.0,0.388,10.0,0.345,7.0,19.0,9.0,88.5,88.5,
132.0,44.0,0.473,12.0,0.4,7.0,32.0,11.0,110.9,110.9,
104.0,42.0,0.467,14.0,0.412,9.0,24.0,6.0,112.1,112.1,
91.0,40.0,0.471,5.0,0.263,4.0,25.0,6.0,88.2,88.2,
87.0,40.0,0.444,10.0,0.333,14.0,17.0,7.0,117.0,117.0,
101.0,37.0,0.394,12.0,0.343,15.0,21.0,7.0,98.8,98.8,
131.0,49.0,0.576,19.0,0.528,5.0,35.0,7.0,132.1,132.1,
110.0,43.0,0.483,5.0,0.263,11.0,30.0,6.0,107.6,107.6,
106.0,39.0,0.464,9.0,0.36,7.0,27.0,2.0,100.5,100.5,
125.0,47.0,0.522,9.0,0.474,8.0,29.0,7.0,124.1,124.1,
123.0,47.0,0.522,7.0,0.292,14.0,23.0,12.0,111.7,111.7,
117.0,40.0,0.412,7.0,0.25,11.0,26.0,11.0,99.5,99.5,
121.0,37.0,0.44,9.0,0.333,9.0,19.0,7.0,97.6,97.6,
119.0,36.0,0.434,13.0,0.394,9.0,23.0,6.0,102.6,102.6,
118.0,40.0,0.396,15.0,0.333,10.0,22.0,15.0,101.1,101.1,
129.0,48.0,0.516,18.0,0.563,12.0,25.0,7.0,124.3,124.3,
119.0,40.0,0.513,10.0,0.37,10.0,28.0,5.0,114.7,114.7,
143.0,55.0,0.534,6.0,0.353,13.0,27.0,6.0,135.7,135.7,
116.0,42.0,0.438,10.0,0.294,13.0,31.0,10.0,107.3,107.3,
122.0,46.0,0.5,8.0,0.444,11.0,31.0,14.0,119.4,119.4,
124.0,47.0,0.516,6.0,0.316,14.0,19.0,5.0,125.8,125.8,
154.0,53.0,0.495,14.0,0.519,14.0,28.0,8.0,119.3,119.3,
134.0,47.0,0.49,8.0,0.364,11.0,27.0,6.0,123.8,123.8,
131.0,41.0,0.436,13.0,0.433,11.0,29.0,4.0,120.8,120.8,
